2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:26 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:27 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:28 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
